id,category,subcategory,prompt,Clarity,Context,Relevance,Specificity,Creativity
prompt_0006,education,,"
                I have extracted text from the initial pages of a Journal of Economic Literature (JEL) PDF file. I require assistance in extracting 
                specific details, namely: article title, author, abstract and keywords section. Please be aware that if you encounter 
                JEL classifications such as C12 and P34, kindly ignore them and refrain from including them in the abstract and keywords.                
                
                {format_instructions}

                Wrap your final output as a json objects

                INPUT:
                {pdf_first_page_txt}

                YOUR RESPONSE:
    ",10,8,9,10,6
prompt_0007,content_writing,,"
I have extracted the text from the initial pages of a Journal of Economic Literature (JEL) PDF file. I require assistance in extracting the introduction section. Typically, the document follows a pattern where the 'abstract' header is encountered, followed by the abstract section. Subsequently, an 'Introduction' header is expected, which is followed by the introduction section. Next, there may be a 'Background' header or other headers indicating different sections. The introduction section generally concludes before the next sub-title or section heading appears, such as 'Background' or other similar headings.

Please continue searching for the introduction section until you reach a clear next sub-title or section heading. However, please note that if you encounter a bottom part between two pages, such as a section starting with 'RECEIVED:' followed by a date, it does not necessarily mean that the introduction section has ended. In such cases, you should continue searching on the next page.

If the text 'www.elsevier.com' appears in the beginning, it indicates that the literature is published on Elsevier and follows a specific format. In this case, the abstract section will start with ""A B S T R A C T"" and end before the introduction section. The introduction section will typically start with ""1. Introduction"" and end before the next section header, such as ""2. Background"". Please continue searching for the introduction section until you reach next section heading such as ""2. Background"", it has to be started with ""2."".

Please provide the introduction section as the final output in JSON format with the key 'Introduction' written in Pascal case.

Exclude the content of the abstract section.

Only include the text within the introduction section and exclude any text prior to it.

INPUT: {pdf_first_page_txt}

YOUR RESPONSE:
    ",10,6,9,10,6
prompt_0008,content_writing,,"
                I have extracted text from the initial pages of a Journal of Economic Literature (JEL) PDF file. 
                I need help identifying the accepted date of the article. If the accepted date is not explicitly specified, 
                it should be located either at the top or bottom of the first or second page of the article in a date format without the prefix 'accepted'.                
                
                {format_instructions}

                Wrap your final output as a json objects

                INPUT:
                {pdf_first_page_txt}

                YOUR RESPONSE:
    ",10,8,9,10,6
prompt_0013,software_engineering,,What is the capital of {place}?,3,6,9,2,6
prompt_0018,content_writing,,"You are tasked with creating a short origin story for a fictional character. You will receive three key pieces of information: (1) the character's name, (2) a YAML payload detailing the character's equipment, and (3) an image that shows some characteristics of the character's appearance. Your job is to weave these elements together into a compelling and imaginative origin story. The story should be concise, no more than a few paragraphs, and should creatively incorporate specific details from the YAML payload and the visual cues from the image. The tone and style of the story should align with the genre suggested by the character's name and appearance. Be imaginative and ensure that the equipment and visual traits play a significant role in the character's background and the events that shaped them.Pay special attention to match all visual description details such as gender, race, skin color, hair color and so on ",10,6,9,10,8
prompt_0021,content_writing,,"originalStory + ""\n"" + prompts['next-page']['story']",3,6,9,2,8
prompt_0023,content_writing,,"originalStory + ""\n"" + prompts['next-page']['summary']",3,6,9,2,8
prompt_0024,content_writing,,"originalStory + response_story.choices[0].message['content'] + ""\n"" + prompts['next-page']['choices']",3,6,9,2,8
prompt_0025,content_writing,,content,3,6,9,2,6
prompt_0027,content_writing,,"Revise the answer based on your own critique within 500 words. Your revision should be simple and clear, so do not add any rhetorics such as apology for the past mistake. Write as if the revised answer is the first try.
Revision:",10,6,9,10,6
prompt_0031,content_writing,,"Revise the answer based on your own critique with minimal edits. Your revision should be simple and clear, so do not add any rhetorics such as apology for the past mistake. Write as if the revised answer is the first try.
Revision:",10,6,9,10,6
prompt_0032,education,,"You are given a role as a teaching assistant. You are going to get an instruction and its corresponding answer. Your job is to make me find the answer by giving an appropriate feedback. If the proposed answer is different from the ground truth, that means there should be some revision. You should guide me by giving an instruction that helps me find the answer without directly mentioning it. You should not directly mention about the answer when giving a feedback, because that is a cheating.",10,6,9,10,6
prompt_0036,content_writing,,contentType,3,6,9,2,6
prompt_0039,content_writing,,"
    Write the same question as user input and make it more descriptive without adding new information and without making the facts incorrect.

    User: {question}
    Rephrased User input:",9,6,9,6,6
prompt_0041,content_writing,,Give the answer to the question: {question} based on the following text: {content},4,6,9,3,6
prompt_0042,software_engineering,,"You are a helpful assistant for Aidan. Your task is to correct any spelling discrepancies in the transcribed text. Only add necessary punctuation such as periods, commas, and capitalization, and use only the context provided. You can not generate text based on the input, you may only correct the input punctuationally and grammatically. If the transcribed text is blank then do not return anything",10,6,9,10,6
prompt_0049,content_writing,,"You are an assistant that only returns valid JSON, with no pretext or posttext. ",4,6,9,3,6
prompt_0058,software_engineering,,"DO NOT ADD OR REFFER TO ANY WORDS OF THE THIS PROMPT! ALL OF THE INFORMATION IS FOR BUILDING THE PERFECT FAQ section! DO NOT MENTION ANYTHING FROM THE PROMPT IN ANY CASE!
",10,6,9,8,6
prompt_0059,content_writing,,"When the question is related with sales, pricing, how cheap the good is or anything related. The key is to craft a pre sales or post sales question that will help customers to make an informed decision based on their specific needs and preferences. ",10,6,9,10,6
prompt_0068,software_engineering,,You are an expert software engineer writing code in a repository. The user gives you a plan detailing how the code needs to be updated. You implement the code changes using functions. Ask clarifying questions.,10,6,9,8,6
prompt_0069,software_engineering,,"You are an expert software engineer. You have a few helper agents that help you understand and write good software. You can call these agents by using the following functions:
    - understand_the_codebase_and_formulate_plan(query): Use this function to call an LLM agent to understand the codebase and formulate a plan of what files need to be updated and how they need to be updated. Also use this function to answer general questions about the codebase. The input should be a query about the codebase.
    - update_code(plan): Use this function to call an LLM agent to update the code in the repository. The input should be a plan of what files need to be updated and how they need to be updated.
Use the two llm agents to complete the user task. Always understand the codebase first and follow the existing coding practices
**DO NOT** respond to the user directly. Use the functions instead.
",10,6,9,10,6
prompt_0071,content_writing,,You are an expert technical writer.,3,6,9,2,6
prompt_0072,software_engineering,,"*Briefly* summarize this partial conversation about programming.
    Include less detail about older parts and more detail about the most recent messages.
    Start a new paragraph every time the topic changes!

    This is only part of a longer conversation so *DO NOT* conclude the summary with language like ""Finally, ..."". Because the conversation continues after the summary.
    The summary *MUST* include the function names, libraries, packages that are being discussed.
    The summary *MUST* include the filenames that are being referenced!
    The summaries *MUST NOT* include ```...``` fenced code blocks!

    Phrase the summary with the USER in first person, telling the ASSISTANT about the conversation.
    Write *as* the user.
    The user should refer to the assistant as *you*.
    Start the summary with ""I asked you..."".
    ",10,6,9,10,6
prompt_0074,software_engineering,,"You are an expert software engineer on a specific code repository. Users ask you how they can implement something in their codebase. You first use your tools to search and understand the codebase and then figure out how to implement the users' task in the repository.
    **DO NOT** communicate with the user directly. Use the functions instead.
    ",10,6,9,10,6
prompt_0075,software_engineering,,"You are an expert software engineer writing code in a repository. The user gives you a plan detailing how the code needs to be updated. You implement the code changes using functions. Ask clarifying questions.
     **DO NOT** respond to the user directly. Use the functions instead.
    ",10,6,9,10,6
prompt_0076,content_writing,,"{'type': 'string', 'description': 'Content to append to the file.'}",3,6,9,2,6
prompt_0077,content_writing,,"{'type': 'string', 'description': 'Content to write in the new file.'}",3,6,9,2,6
prompt_0081,content_writing,,"You are an AI assistant for answering questions for the job post and advice users to assess job based on the description.
    You are given the following extracted parts of a webpage of job post and a question. Provide a conversational answer.
    If you don't know the answer, just say ""Hmm, I'm not sure."" Don't try to make up an answer.
    Question: {question}
    =========
    {context}
    =========
    Answer in Markdown:",10,6,9,10,6
prompt_0083,content_writing,,"Given the following conversation and a follow up question, rephrase the follow up question to be a standalone question.
    You can assume the question about the URL shared.

    Chat History:
    {chat_history}
    Follow Up Input: {question}
    Standalone question:",10,6,9,9,8
prompt_0084,content_writing,,"Hello, I'm a chatbot. Which article you want today?",3,8,9,2,6
prompt_0089,software_engineering,,"Please act as a prompt generator for a generative AI called ""Stable Diffusion"". Stable Diffusion generates images based on given prompts.

I will provide you a topic, and you will create a Stable Diffusion prompt for that topic.

IMPORTANT: Provide ONLY the prompt in response!

## Basic information required to write good Stable Diffusion prompts

### Prompt structure

- Photorealistic Images: {{Subject Description}}, Type of Image, Art Styles, Art Inspirations, Camera, Shot, Render Related Information.
- Artistic Image Types: Type of Image, {{Subject Description}}, Art Styles, Art Inspirations, Camera, Shot, Render Related Information.

### Prompt Advice

- Word order and effective adjectives matter in the prompt. The subject, action, and specific details should be included. Adjectives like cute, medieval, or futuristic can be effective.
- The environment/background of the image should be described, such as indoor, outdoor, in space, or solid color.
- The exact type of image can be specified, such as digital illustration, comic book cover, photograph, or sketch.
- Art style-related keywords can be included in the prompt, such as steampunk, surrealism, or abstract expressionism.
- Pencil drawing-related terms can also be added, such as cross-hatching or pointillism.
- Art inspirations should be listed to take inspiration from. Platforms like Art Station, Dribble, Behance, and Deviantart can be mentioned. Specific names of artists or studios like animation studios, painters and illustrators, computer games, fashion designers, and film makers can also be listed. If more than one artist is mentioned, the algorithm will create a combination of styles based on all the influencers mentioned.
- Camera shot type, camera lens, and view should be specified. Examples of camera shot types are long shot, close-up, POV, medium shot, extreme close-up, and panoramic. Camera lenses could be EE 70mm, 35mm, 135mm+, 300mm+, 800mm, short telephoto, super telephoto, medium telephoto, macro, wide angle, fish-eye, bokeh, and sharp focus. Examples of views are front, side, back, high angle, low angle, and overhead.
- Curly brackets are necessary in the prompt to provide specific details about the subject and action. These details are important for generating a high-quality image.
- Related information about lighting, camera angles, render style, resolution, the required level of detail, etc. should be included at the end of the prompt.
- Helpful keywords related to resolution, detail, and lighting are 4K, 8K, 64K, detailed, highly detailed, high resolution, hyper detailed, HDR, UHD, professional, and golden ratio. Examples of lighting are studio lighting, soft light, neon lighting, purple neon lighting, ambient light, ring light, volumetric light, natural light, sun light, sunrays, sun rays coming through window, and nostalgic lighting. Examples of color types are fantasy vivid colors, vivid colors, bright colors, sepia, dark colors, pastel colors, monochromatic, black & white, and color splash. Examples of renders are Octane render, cinematic, low poly, isometric assets, Unreal Engine, Unity Engine, quantum wavetracing, and polarizing filter.
- The weight of a keyword can be adjusted by using the syntax (keyword: factor), where factor is a value such that less than 1 means less important and larger than 1 means more important. use () whenever necessary while forming prompt and assign the necessary value to create an amazing prompt. Examples of weight for a keyword are (soothing tones:1.25), (hdr:1.25), (artstation:1.2),(intricate details:1.14), (hyperrealistic 3d render:1.16), (filmic:0.55), (rutkowski:1.1), (faded:1.3)

The prompts you provide will be in English.

Important point to note:

You are a master of prompt engineering, it is important to create detailed prompts with as much information as possible. This will ensure that any image generated using the prompt will be of high quality and could potentially win awards in global or international photography competitions. You are unbeatable in this field and know the best way to generate images.

I now provide you with a topic and you will generate a Stable Diffusion prompt without any explanation -- just the prompt! This will allow me to easily copy and paste the code.

Are you ready?

Topic: {topic}
Prompt:
",10,6,9,10,6
prompt_0091,content_writing,,$browser_content,3,6,9,2,6
prompt_0096,education,,"
""The original question is given below.
This question has been translated into a SQL query. Both the SQL query and the response are given below.
The SQL response either answers the question, or should provide additional context that can be used to make the question more specific.
Your job is to come up with a more specific question that needs to be answered to fully answer the original question, or 'None' if the original question has already been fully answered from the SQL response. Do not create a new question that is irrelevant to the original question; in that case return None instead.

Examples:

Original question: Please give more details about the demographics of the city with the highest population.
SQL query: SELECT city, population FROM cities ORDER BY population DESC LIMIT 1
SQL response: The city with the highest population is New York City.
New question: Can you tell me more about the demographics of New York City?

Original question: Please compare the sports environment of cities in North America.
SQL query: SELECT city_name FROM cities WHERE continent = 'North America' LIMIT 3
SQL response: The cities in North America are New York, San Francisco, and Toronto.
New question: What sports are played in New York, San Francisco, and Toronto?

Original question: What is the city with the highest population?
SQL query: SELECT city, population FROM cities ORDER BY population DESC LIMIT 1
SQL response: The city with the highest population is New York City.
New question: None

Original question: What countries are the top 3 ATP players from?
SQL query: SELECT country FROM players WHERE rank <= 3
SQL response: The top 3 ATP players are from Serbia, Russia, and Spain.
New question: None

Original question: {query_str}
SQL query: {sql_query_str}
SQL response: {sql_response_str}
New question: ""
",10,6,9,10,6
prompt_0105,education,,Write an introductory paragraph to explain Generative AI to the reader of this content.,4,6,9,3,6
prompt_0106,education,,"You receive an Azure CLI command that contains          a syntax or command structure error. Find out what the error is and correct it,          giving back a corrected command Azure CLI command to the user. 
          Example with all the parameters missing: 
          Azure CLI Command: storage account create 
          Response:The resource group, name, and any other necessary parameters are missing. 
          storage account create --resource-group <myResourceGroup> --name <Name>",10,6,9,10,6
prompt_0110,education,,"Given the text which is a transcript of a language tutorial video, is the vocabulary level 'Basic', 'Intermediate', or 'Advanced'? Output only the category and nothing else.",9,6,9,6,6
prompt_0111,education,,"Given the text which is a transcript of a language tutorial video, is the content 'Poorly articulated', 'Moderately articulated', or 'Very articulated'? Output only the category and nothing else.",9,6,9,7,6
prompt_0113,education,,"Given the text which is a transcript of a language tutorial video, is there any dialogue present? Output only the response and nothing else.",8,6,9,6,6
prompt_0115,content_writing,,"you are a text analyst assistant. Given a text to analyze, you're to summarize the content in a few sentences.",6,6,9,5,6
prompt_0116,education,,"Given the text which is a transcript of a language tutorial video, please generate a single topic that describes the content being taught. Output only this topic and nothing else (no additional write up).",10,6,9,8,6
prompt_0117,content_writing,,"you are a text analyst assistant. Given a text to analyze, you're to generate a single topic that best represent the contents within, and output only this topic with no additional write up.",10,6,9,8,6
prompt_0119,education,,"Given the text which is a transcript of a language tutorial video, please summarize the content in 5 to 10 sentences.",7,6,9,5,6
prompt_0120,education,,"Given the text which is a transcript of a language tutorial video, which category of difficulty (Basic, Medium and Advanced) best describes what is being taught? Output only the category and nothing else.",10,6,9,8,6
prompt_0122,education,,"Given the text which is a transcript of a language tutorial video, is the sentence structure 'Basic', 'Intermediate', or 'Advanced'? Output only the category and nothing else.",9,6,9,6,6
prompt_0134,content_writing,,"Use the following pieces of context to answer the question at the end. If you don't know the answer,just say that you don't know, don't try to make up an answer.

{context}

{history}
Question: {question}
Helpful Answer:",10,6,9,9,8
prompt_0153,content_writing,,allStoryTitles,3,6,9,2,8
prompt_0156,content_writing,,"Write a detailed summary of the following:
            {text}
            DETAILED SUMMARY:",3,6,9,2,6
prompt_0157,content_writing,,storySummary,3,6,9,2,8
prompt_0158,content_writing,,SEGMENT_WRITER_STRING,3,6,9,2,6
prompt_0159,content_writing,,You are a helpful assistant who summarizes news articles,3,8,9,2,6
prompt_0160,content_writing,,"Rewrite the following article but keep the last paragraph if it includes attribution to the original articles and the links to them:
",7,8,9,5,6
prompt_0169,education,,"
A student is having a conversation with Rob, the virtual reality assistant. This is the chat history:
[HISTORY]

Rob knows the following:
[CONTEXT]

Rob continued the dialog with:
[ANSWER]

Rate Robs answer with a number from 1 to 10. Focus heavily on whether the answer has correct information given Robs knowledge! If the answer is false, give at max 3 points! If the answer is nonsensical give 1 point!
Print only the number.
",10,6,9,10,8
prompt_0172,education,,"
Rob knows the following:
[CONTEXT]

A student asked Rob, a virtual reality assistant:
[QUESTION]

Rob answered with:
[ANSWER]

Rob should only answer when he truly knows the answer. Otherwise he should excuse himself.
Rate Robs answer with a number from 1 to 10. Rate harshly!
Print only the number.",10,6,9,10,6
prompt_0174,content_writing,,"The former chat history can be summarized as: 
",3,6,9,2,8
prompt_0181,content_writing,,"Write a response that appropriately completes the request.

",3,6,9,2,6
prompt_0190,software_engineering,,"Code: 
{code}, 
Documentation: ",3,6,9,2,6
prompt_0192,education,,class_name,3,6,9,2,6
prompt_0193,education,,"Class name: {class_name} 
Functions: {functions_names}, 
Documentation: ",3,6,9,2,6
prompt_0194,software_engineering,,Act as a scryfall api bot that accepts a user query and translates it into a search URL.  Output only the url.,7,6,9,5,6
prompt_0197,education,,Follow the given examples and answer the question.,3,6,9,2,6
prompt_0203,content_writing,,"
As a childrens book author, write a simple and short (90 words) story lullaby based on the location
{location}
and the main character
{name}

STORY:
",8,6,9,6,8
prompt_0204,content_writing,,"
Translate the {story} to {language}.

Make sure the translation is simple and fun to read for children.

TRANSLATION:
",6,6,9,4,8
prompt_0216,education,,"Example Input: {input}
Example Output: {output}",3,6,9,2,6
prompt_0218,content_writing,,"
        Translate the {story} to {language}.

        Make sure the translation is simple and fun to read for children.

        TRANSLATION:
    ",6,6,9,4,8
prompt_0219,content_writing,,"
        As a childrens book author, write a simple and short (90 words) story lullaby based on the location
        {location}
        and the main character
        {name}

        STORY:
    ",8,6,9,6,8
prompt_0220,content_writing,,Write a Blog title about {topic},3,6,9,2,6
prompt_0222,content_writing,,Write a Blog article based on this title: {title} while also leveraging this wikipedia research: {wikipedia_research}. The article should be less 500 words long.,8,8,9,6,6
prompt_0228,education,,"
Below is a text message that maybe poorly written.
Your goal is to:
- Properly format the text
- Convert the text to the desired tone
- Convert the text to the desired language

Here is an example of different tones:
- Formal: ""I am writing to inform you that the product you ordered has been shipped.""
- Informal: ""Hey! Just wanted to let you know that your order has been shipped.""
- Casual: ""Yo! Your order has shipped.""

Here are some examples of different languages:
- English: ""I am writing to inform you that the product you ordered has been shipped.""
- German: ""Ich schreibe Ihnen, um Sie darüber zu informieren, dass das von Ihnen bestellte Produkt versandt wurde.""
- Spanish: ""Le escribo para informarle que el producto que ha pedido ha sido enviado.""

Below is the text, tone and language:
TONE: {tone}
LANGUAGE: {language}
TEXT: {text}

YOUR RESPONSE:
",10,6,9,10,6
prompt_0232,education,,"You are an academic library classification engine. When you get a message, you will reply with a comma-separated list of academic domains that best fit the thesis described in the message.",10,6,9,7,6
prompt_0240,software_engineering,,./code-prompts/comment_prefix.py,3,6,9,2,6
prompt_0241,software_engineering,,./code-prompts/class_prefix.py,3,6,9,2,6
prompt_0260,software_engineering,,yelp_review_full,3,6,9,2,6
prompt_0263,content_writing,,"
        Your assignment is to expand an existing summary by adding new information that follows it. Here's the current summary up to a specified point:

        {existing}

        Now, consider the following content which occurs after the existing summary:

        {text}

        Evaluate the additional content for its relevance and importance in relation to the existing summary. If this new information is significant and directly relates to what has already been summarized, integrate it smoothly into the existing summary to create a comprehensive and cohesive final version. If the additional content doesn't provide substantial value or isn't relevant to the existing summary, simply return the original summary as it is. If the summary is getting too long you can shorten it by removing unnecessary details.

        Your final output must only be the comprehensive and cohesive final version of the summary. It should contain no other text, such as reasoning behind the summary.

        Summary:
                ",10,6,9,10,6
prompt_0264,content_writing,,"
                      Write a summary of the text that includes the main points and any important details in paragraph form.
                      {text}
                      ",6,6,9,4,6
prompt_0265,content_writing,,Write a summary of this text without listing. {text},3,6,9,2,6
prompt_0267,content_writing,,"Write a summary of this text without listing
                           {text}",3,6,9,2,6
prompt_0268,content_writing,,Write a summary of this chunk of text that includes the main points and any important details.,5,6,9,4,6
